date,open,high,low,close,volume
2024-10-31,0.1255,0.1638,0.1255,0.1426,398814519.5
2024-11-01,0.1426,0.1463,0.13,0.1347,188425932.4
2024-11-02,0.1347,0.1355,0.1259,0.1291,55359889.7
2024-11-03,0.1292,0.1323,0.1208,0.1233,47961382.4
2024-11-04,0.1233,0.1262,0.1115,0.1164,55497126.6
2024-11-05,0.1165,0.1199,0.1159,0.1187,35337900.9
2024-11-06,0.1186,0.1245,0.118,0.1241,83210099.3
2024-11-07,0.124,0.127,0.1209,0.1231,46724496.6
2024-11-08,0.1231,0.124,0.1199,0.1217,38476972.0
2024-11-09,0.1217,0.127,0.1198,0.1261,49374291.2
2024-11-10,0.1262,0.14,0.1253,0.1316,86444809.4
2024-11-11,0.1317,0.1342,0.1271,0.1318,69423711.1
2024-11-12,0.1318,0.132,0.1201,0.1236,63358262.5
2024-11-13,0.1235,0.125,0.1172,0.1207,63072098.2
2024-11-14,0.1205,0.132,0.117,0.1242,74038733.9
2024-11-15,0.1242,0.1301,0.1234,0.1291,61048916.2
2024-11-16,0.1291,0.1427,0.1284,0.138,76799908.8
2024-11-17,0.1379,0.1411,0.1279,0.1317,45698492.5
2024-11-18,0.1317,0.1376,0.1309,0.1366,43103728.8
2024-11-19,0.1366,0.1568,0.1359,0.1491,158871812.2
2024-11-20,0.1492,0.1493,0.1391,0.1427,48868025.0
2024-11-21,0.1427,0.1503,0.1392,0.1488,56467503.4
2024-11-22,0.1489,0.1682,0.1463,0.1673,98517022.5
2024-11-23,0.1672,0.1809,0.1644,0.1739,91403940.5
2024-11-24,0.174,0.2114,0.1734,0.2095,184275615.1
2024-11-25,0.2095,0.21,0.1762,0.1838,90708469.2
2024-11-26,0.1838,0.1913,0.1723,0.1796,67501987.5
2024-11-27,0.1797,0.1906,0.1795,0.1901,79787237.5
2024-11-28,0.1902,0.195,0.1862,0.1929,42254353.1
2024-11-29,0.193,0.1969,0.1876,0.1966,35661385.0
2024-11-30,0.1965,0.2069,0.195,0.2065,43092614.5
2024-12-01,0.2066,0.2639,0.2009,0.254,200107177.2
2024-12-02,0.2541,0.425,0.2537,0.4012,614991978.4
2024-12-03,0.4012,0.42,0.2479,0.335,488759725.7
2024-12-04,0.335,0.3887,0.3168,0.346,213640223.8
2024-12-05,0.3458,0.3458,0.3109,0.3181,128857617.9
2024-12-06,0.3181,0.3444,0.3081,0.3309,115800016.1
2024-12-07,0.3308,0.3471,0.3043,0.3169,74070848.2
